customID,Dist.,2P,0_3,3_10,10_16,16_3P,3P,Dunks,corner3_att
Shaq BuchananMEM,13.6,0.5,0.5,0,0,0,0.5,0,0
Reggie BullockDAL,20.9,0.218,0.096,0.048,0.032,0.042,0.782,2,0.446
Trey BurkeDAL,17,0.619,0.098,0.163,0.126,0.233,0.381,0,0.146
Alec BurksNYK,17.4,0.466,0.124,0.165,0.111,0.066,0.534,3,0.226
Jared ButlerUTA,18.4,0.417,0.066,0.232,0.066,0.053,0.583,0,0.114
Jimmy ButlerMIA,9.6,0.86,0.306,0.291,0.195,0.068,0.14,38,0.466
Devontae CacokSAS,4.6,1,0.387,0.484,0.129,0,0,3,
Kentavious Caldwell-PopeWAS,18.1,0.508,0.105,0.117,0.112,0.175,0.492,6,0.346
Facundo CampazzoDEN,19.4,0.348,0.149,0.142,0.041,0.017,0.652,0,0.197
Vlatko ?an?arDEN,10.6,0.707,0.39,0.195,0.098,0.024,0.293,2,0.417
Devin CannadyORL,22.5,0.159,0.045,0.045,0.045,0.023,0.841,0,0.297
Clint CapelaATL,2.2,0.998,0.765,0.225,0.007,0.002,0.002,164,0
Vernon Carey Jr.TOT,8.2,1,0.615,0,0.077,0.308,0,0,
Vernon Carey Jr.CHO,7.6,1,0.667,0,0,0.333,0,0,
Vernon Carey Jr.WAS,8.6,1,0.571,0,0.143,0.286,0,0,
Jevon CarterTOT,21.2,0.328,0.055,0.043,0.067,0.162,0.672,1,0.324
Jevon CarterBRK,22.2,0.27,0.04,0.023,0.057,0.149,0.73,1,0.276
Jevon CarterMIL,18.9,0.456,0.089,0.089,0.089,0.19,0.544,0,0.465
Wendell Carter Jr.ORL,12.1,0.687,0.327,0.202,0.101,0.057,0.313,90,0.103
Alex CarusoCHI,15.4,0.508,0.258,0.145,0.043,0.063,0.492,4,0.373
Willie Cauley-SteinTOT,5.3,0.943,0.629,0.2,0.057,0.057,0.057,7,0
Willie Cauley-SteinDAL,5.3,0.943,0.629,0.2,0.057,0.057,0.057,7,0
Willie Cauley-SteinPHI,,,,,,,,0,
Ahmad CaverIND,1.8,1,1,0,0,0,0,0,
Justin ChampagnieTOR,11.7,0.582,0.358,0.209,0.015,0,0.418,3,0.536
Zylan CheathamUTA,17.2,0.333,0.333,0,0,0,0.667,0,0.5
Chris ChiozzaGSW,19.4,0.346,0.111,0.136,0.049,0.049,0.654,0,0.245
