PLAYER_clean,PLAYER,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,TYPE,CAP HIT,SALARY
Boris Katchouk,366. Boris Katchouk,23,LW,Left,59,3,4,7,0.12,-7,58,0.05,9:54,6.27,58,100,80,0.64,5.95,10.25,8.19,250,302,45.29,463,557,45.39,360,411,46.69,20.3,22.71,47.21,Standard (2-way),"$758,333","$750,000"
Taylor Raddysh,367. Taylor Raddysh,23,RW,Right,74,11,11,22,0.3,1,104,0.11,12:20,14.14,104,163,142,0.93,6.84,10.71,9.33,458,434,51.35,828,824,50.12,628,620,50.32,44.38,37.14,54.44,Standard (2-way),"$758,333","$750,000"
Alex Barré-Boulet,368. Alex Barré-Boulet,24,"RW, LW",Left,16,3,3,6,0.38,0,16,0.19,11:00,2.1,16,28,21,0.72,5.45,9.53,7.16,75,100,42.86,153,165,48.11,109,128,45.99,7.02,7.34,48.89,Standard (2-way),"$758,333","$750,000"
Turner Elson,369. Turner Elson,28,LW,Left,2,0,0,0,0,-1,1,0,13:22,0.03,1,2,2,0.07,2.24,4.49,4.49,14,13,51.85,21,26,44.68,18,17,51.43,0.7,0.99,41.42,Standard (1-way),"$750,000","$750,000"
Hayden Hodgson,370. Hayden Hodgson,25,RW,Right,6,1,2,3,0.5,-1,10,0.1,13:12,1.56,10,14,13,1.18,7.58,10.61,9.85,30,46,39.47,49,82,37.4,39,69,36.11,2.54,3.96,39.08,Standard (2-way),"$750,000","$750,000"
Brad Malone,371. Brad Malone,32,"C, LW",Left,8,1,1,2,0.25,-2,7,0.14,8:16,0.79,7,11,9,0.72,6.34,9.97,8.15,27,42,39.13,45,70,39.13,33,57,36.67,2.31,4.55,33.67,Standard (2-way),"$750,000","$750,000"
Mark Jankowski,372. Mark Jankowski,26,"C, LW",Left,19,2,3,5,0.26,2,14,0.14,13:38,1.57,14,29,22,0.36,3.24,6.71,5.09,101,171,37.13,177,282,38.56,133,234,36.24,7.43,17.27,30.08,Standard (2-way),"$750,000","$750,000"
Colton Sceviour,373. Colton Sceviour,32,"RW, C",Right,35,2,3,5,0.14,-6,38,0.05,9:28,3.15,38,60,53,0.56,6.88,10.86,9.59,135,202,40.06,261,347,42.93,191,263,42.07,9.77,17.59,35.71,Standard (2-way),"$750,000","$750,000"
Evgeny Svechnikov,374. Evgeny Svechnikov,24,"LW, RW",Left,72,7,12,19,0.26,-4,78,0.09,10:45,7.19,78,123,99,0.56,6.04,9.52,7.67,386,413,48.31,664,707,48.43,517,546,48.64,32.22,31.58,50.51,Standard (2-way),"$750,000","$750,000"
Kieffer Bellows,375. Kieffer Bellows,23,"LW, RW",Left,45,6,13,19,0.42,-1,79,0.08,11:51,7.14,80,147,108,0.8,8.99,16.52,12.14,256,289,46.97,483,510,48.64,354,383,48.03,22.8,24.64,48.06,Standard (1-way),"$750,000","$750,000"
Alex Chiasson,376. Alex Chiasson,30,RW,Right,67,13,9,22,0.33,5,98,0.13,11:36,12.62,98,140,117,0.97,7.55,10.79,9.02,447,335,57.16,819,617,57.03,607,463,56.73,43.3,30.06,59.02,Standard (1-way),"$750,000","$750,000"
Anatoly Golyshev,377. Anatoly Golyshev,26,"LW, RW",Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (1-way),"$750,000","$750,000"
Michael Dal Colle,378. Michael Dal Colle,25,LW,Left,1,0,0,0,0,1,2,0,14:34,0.14,2,2,2,0.57,8.24,8.24,8.24,5,6,45.45,12,12,50,8,7,53.33,0.45,0.45,50,Standard (1-way),"$750,000","$750,000"
James Neal,379. James Neal,33,"RW, LW",Left,19,2,2,4,0.21,-1,31,0.06,11:57,3.27,31,45,37,0.86,8.18,11.88,9.77,121,95,56.02,210,163,56.3,163,131,55.44,11.33,6.92,62.08,Standard (1-way),"$750,000","$750,000"
Alex Galchenyuk,380. Alex Galchenyuk,27,"LW, C, RW",Left,60,6,15,21,0.35,-11,89,0.07,13:09,9.28,89,145,122,0.71,6.77,11.02,9.27,355,482,42.41,633,836,43.09,487,661,42.42,32.32,44.66,41.98,Standard (1-way),"$750,000","$750,000"
Max McCormick,381. Max McCormick,29,LW,Left,10,0,0,0,0,1,8,0,8:06,0.6,8,15,13,0.44,5.93,11.11,9.63,31,24,56.36,57,51,52.78,43,36,54.43,2.2,2.06,51.52,Standard (2-way),"$750,000","$750,000"
Zach Senyshyn,382. Zach Senyshyn,24,RW,Right,2,0,0,0,0,-1,0,0,6:31,0.01,0,1,1,0.05,0,4.59,4.59,2,3,40,4,11,26.67,4,5,44.44,0.09,0.27,25,Standard (2-way),"$750,000","$750,000"
Logan Brown,383. Logan Brown,23,"C, LW",Left,39,4,7,11,0.28,-3,34,0.12,10:11,5.65,34,56,49,0.85,5.13,8.44,7.4,191,207,47.99,324,364,47.09,261,286,47.71,18.46,16.13,53.37,Standard (2-way),"$750,000","$750,000"
Cole Bardreau,384. Cole Bardreau,27,C,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
Otto Koivula,385. Otto Koivula,22,"LW, RW, C",Left,8,0,2,2,0.25,-2,8,0,10:44,0.55,8,11,9,0.38,5.58,7.68,6.28,40,45,47.06,68,81,45.64,51,63,44.74,2.69,3.98,40.33,Standard (2-way),"$750,000","$750,000"
Dmytro Timashov,386. Dmytro Timashov,24,LW,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
Andy Andreoff,387. Andy Andreoff,30,"LW, C",Left,6,1,0,1,0.17,-1,6,0.17,9:59,0.28,6,9,8,0.28,6.01,9.01,8.01,16,23,41.03,41,57,41.84,27,37,42.19,1.19,2.84,29.53,Standard (2-way),"$750,000","$750,000"
Givani Smith,388. Givani Smith,23,"LW, RW",Left,46,4,3,7,0.15,-6,50,0.08,8:28,3.9,50,83,64,0.6,7.7,12.78,9.85,176,207,45.95,325,377,46.3,232,279,45.4,12.31,15.25,44.67,Standard (1-way),"$750,000","$750,000"
Noah Gregor,389. Noah Gregor,22,"LW, RW",Left,63,8,15,23,0.37,-21,156,0.05,14:56,12.8,156,263,210,0.82,9.94,16.77,13.39,471,490,49.01,839,956,46.74,642,685,48.38,40.1,44.4,47.46,Standard (2-way),"$750,000","$750,000"
Ryan Donato,390. Ryan Donato,25,"LW, C",Left,74,16,15,31,0.42,-13,159,0.1,13:47,18.27,159,268,222,1.07,9.35,15.75,13.05,502,426,54.09,953,803,54.27,695,609,53.3,44.13,45.23,49.38,Standard (1-way),"$750,000","$750,000"
Cooper Marody,391. Cooper Marody,24,"C, RW",Right,1,0,1,1,1,0,1,0,6:04,0.09,1,1,1,0.89,9.88,9.88,9.88,3,1,75,8,4,66.67,5,3,62.5,0.33,0.1,76.73,Standard (2-way),"$750,000","$750,000"
Ryan Poehling,392. Ryan Poehling,22,"LW, C",Left,57,9,8,17,0.3,-21,91,0.1,12:11,9.96,91,137,114,0.86,7.85,11.83,9.84,350,369,48.68,606,645,48.44,452,505,47.23,31.47,33.15,48.7,Standard (2-way),"$750,000","$750,000"
Justin Kirkland,393. Justin Kirkland,24,"LW, RW",Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
Glenn Gawdin,394. Glenn Gawdin,24,"C, RW",Right,2,0,0,0,0,0,3,0,9:14,0.08,3,4,3,0.26,9.74,12.99,9.74,12,6,66.67,18,13,58.06,12,10,54.55,0.51,0.28,64.56,Standard (2-way),"$750,000","$750,000"
Connor Bunnaman,395. Connor Bunnaman,23,"C, LW",Left,15,0,0,0,0,-7,10,0,10:00,1.07,10,17,15,0.43,4,6.79,5.99,55,79,41.04,96,135,41.56,78,104,42.86,4.01,6.78,37.22,Standard (2-way),"$750,000","$750,000"
Mason Shaw,396. Mason Shaw,22,"LW, C",Left,3,0,0,0,0,-2,7,0,8:59,0.28,7,10,9,0.65,15.57,22.25,20.02,16,16,50,31,23,57.41,24,18,57.14,0.94,1.63,36.58,Standard (2-way),"$750,000","$750,000"
Scott Sabourin,397. Scott Sabourin,28,RW,Right,7,0,2,2,0.29,-2,4,0,7:35,0.66,4,10,9,0.74,4.51,11.28,10.16,25,44,36.22,51,72,41.46,41,52,44.09,2.38,3.54,40.2,Standard (2-way),"$750,000","$750,000"
Carsen Twarynski,398. Carsen Twarynski,23,LW,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
Zac Rinaldo,399. Zac Rinaldo,31,LW,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
Tyler Benson,400. Tyler Benson,23,"LW, RW",Left,29,1,1,2,0.07,-5,18,0.06,8:32,1.07,18,35,25,0.26,4.36,8.47,6.05,130,127,50.58,238,209,53.24,174,161,51.94,8.68,10.35,45.61,Standard (2-way),"$750,000","$750,000"
Andrew Poturalski,401. Andrew Poturalski,27,C,Right,2,0,2,2,1,-1,4,0,10:08,0.38,4,5,5,1.12,11.83,14.79,14.79,12,15,44.44,19,27,41.3,16,21,43.24,1.05,1.47,41.67,Standard (2-way),"$750,000","$750,000"
Brendan Perlini,402. Brendan Perlini,25,"RW, LW",Left,23,4,1,5,0.22,-2,24,0.17,8:22,2,24,44,34,0.62,7.48,13.71,10.59,79,101,43.89,148,182,44.85,107,134,44.4,5.5,7.3,42.97,Standard (2-way),"$750,000","$750,000"
Ty Ronning,403. Ty Ronning,23,RW,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
Bokondji Imama,404. Bokondji Imama,24,LW,Left,4,1,0,1,0.25,-2,3,0.33,4:31,0.43,3,4,3,1.43,9.96,13.27,9.96,8,18,30.77,9,28,24.32,8,27,22.86,0.57,2.09,21.72,Standard (2-way),"$750,000","$750,000"
Luke Philp,405. Luke Philp,25,C,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
Matthew Phillips,406. Matthew Phillips,23,C,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
Tim Gettinger,407. Tim Gettinger,23,"LW, RW",Left,8,0,0,0,0,0,3,0,9:27,0.21,3,6,5,0.17,2.38,4.76,3.96,23,34,40.35,41,65,38.68,34,49,40.96,1.58,2.66,37.26,Standard (2-way),"$750,000","$750,000"
Michael Vecchione,408. Michael Vecchione,28,"C, RW",Right,1,0,0,0,0,-1,3,0,5:06,0.31,3,3,3,3.65,35.29,35.29,35.29,5,2,71.43,5,5,50,5,4,55.56,0.32,0.19,62.75,Standard (2-way),"$750,000","$750,000"
Michael Pezzetta,409. Michael Pezzetta,23,"LW, RW",Left,51,5,6,11,0.22,-7,49,0.1,7:50,5.22,49,77,65,0.78,7.36,11.56,9.76,210,211,49.88,333,355,48.4,257,273,48.49,16.63,18.17,47.79,Standard (2-way),"$750,000","$750,000"
AJ Greer,410. AJ Greer,24,"RW, LW",Left,9,1,1,2,0.22,0,14,0.07,7:51,1.18,14,20,16,1,11.88,16.97,13.58,40,29,57.97,73,54,57.48,58,43,57.43,3.14,2.29,57.72,Standard (2-way),"$750,000","$750,000"
Alex True,411. Alex True,23,"C, RW",Left,8,0,0,0,0,-2,6,0,8:14,0.31,6,7,6,0.28,5.46,6.37,5.46,19,24,44.19,36,50,41.86,23,40,36.51,1.3,1.9,40.61,Standard (2-way),"$750,000","$750,000"
Marian Studenic,412. Marian Studenic,22,"LW, RW",Left,33,2,2,4,0.12,-7,42,0.05,11:08,5.19,42,72,57,0.85,6.85,11.74,9.3,181,185,49.45,320,335,48.85,246,253,49.3,16.12,15.29,51.32,Standard (2-way),"$750,000","$750,000"
Travis Boyd,413. Travis Boyd,27,"C, RW",Right,74,17,18,35,0.47,-10,88,0.19,16:30,13.25,88,155,131,0.65,4.32,7.61,6.43,515,684,42.95,979,1214,44.64,749,919,44.9,54.78,63.45,46.33,Standard (1-way),"$750,000","$750,000"
Radim Zohorna,414. Radim Zohorna,25,"C, LW, RW",Left,17,2,4,6,0.35,12,9,0.22,10:19,1.92,9,24,19,0.66,3.08,8.19,6.49,98,70,58.33,172,119,59.11,131,103,55.98,8.46,4.21,66.77,Standard (2-way),"$750,000","$750,000"
Blake Speers,415. Blake Speers,24,C,Right,2,0,0,0,0,-3,1,0,9:09,0.04,1,2,1,0.13,3.28,6.55,3.28,4,11,26.67,6,23,20.69,4,19,17.39,0.16,1.27,11.19,Standard (2-way),"$750,000","$750,000"
Brayden Burke,416. Brayden Burke,24,LW,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
Stefan Noesen,417. Stefan Noesen,28,"RW, LW",Right,2,0,0,0,0,1,4,0,14:19,0.88,4,11,9,1.84,8.38,23.04,18.85,20,12,62.5,37,21,63.79,29,18,61.7,2.45,1.23,66.58,Standard (2-way),"$750,000","$750,000"
Brendan Gaunce,418. Brendan Gaunce,27,"LW, C",Left,30,5,2,7,0.23,2,44,0.11,8:05,4.22,44,71,62,1.04,10.87,17.54,15.32,129,122,51.39,245,221,52.58,190,161,54.13,10.36,9.9,51.14,Standard (2-way),"$750,000","$750,000"
Dakota Joshua,419. Dakota Joshua,25,"C, LW",Left,30,3,5,8,0.27,6,31,0.1,8:29,4.22,31,49,41,0.99,7.3,11.54,9.66,142,107,57.03,245,221,52.58,193,155,55.46,13.07,8.1,61.74,Standard (2-way),"$750,000","$750,000"
Austin Poganski,420. Austin Poganski,25,RW,Right,16,0,0,0,0,-3,9,0,9:19,1,9,19,16,0.4,3.62,7.64,6.44,58,76,43.28,108,141,43.37,81,103,44.02,4.38,6.31,41.03,Standard (2-way),"$750,000","$750,000"
Riley Nash,421. Riley Nash,32,"C, RW",Right,49,0,4,4,0.08,-5,36,0,11:25,4.3,36,64,56,0.46,3.86,6.86,6,205,314,39.5,377,590,38.99,288,437,39.72,19.25,32.51,37.19,Standard (1-way),"$750,000","$750,000"
Maxim Letunov,422. Maxim Letunov,25,C,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
Zac Dalpe,423. Zac Dalpe,31,C,Right,1,0,0,0,0,-1,0,0,6:08,0,0,0,0,0,0,0,0,2,4,33.33,2,7,22.22,2,4,33.33,0.02,0.12,14.29,Standard (2-way),"$750,000","$750,000"
Nicholas Caamano,424. Nicholas Caamano,22,"LW, RW",Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
Sam Miletic,425. Sam Miletic,24,"LW, C",Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
Ryan MacInnis,426. Ryan MacInnis,25,C,Left,1,0,0,0,0,0,2,0,10:00,0.09,2,2,2,0.54,12,12,12,4,6,40,5,8,38.46,4,6,40,0.16,0.34,32,Standard (2-way),"$750,000","$750,000"
Michael Carcone,427. Michael Carcone,25,"LW, C",Left,21,4,2,6,0.29,-8,36,0.11,12:18,3.75,36,64,49,0.87,8.35,14.85,11.37,132,135,49.44,233,245,48.74,181,192,48.53,11.98,12.79,48.36,Standard (2-way),"$750,000","$750,000"
Hudson Fasching,428. Hudson Fasching,25,RW,Right,11,0,0,0,0,-3,3,0,9:53,0.65,3,17,11,0.36,1.66,9.38,6.07,37,60,38.14,77,106,42.08,53,77,40.77,1.92,4.33,30.72,Standard (2-way),"$750,000","$750,000"
Brandon Duhaime,429. Brandon Duhaime,24,"RW, LW",Left,80,6,11,17,0.21,-2,91,0.07,10:13,8.02,91,161,120,0.59,6.68,11.82,8.81,373,428,46.57,699,803,46.54,509,613,45.37,26.71,33.65,44.25,Standard (2-way),"$750,000","$750,000"
Joseph Gambardella,430. Joseph Gambardella,27,LW,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
Kole Sherwood,431. Kole Sherwood,24,"RW, C",Right,1,0,0,0,0,0,2,0,8:08,0.08,2,3,2,0.59,14.76,22.14,14.76,7,2,77.78,9,8,52.94,8,5,61.54,0.21,0.51,29.17,Standard (2-way),"$750,000","$750,000"
Pontus Åberg,432. Pontus Åberg,27,"RW, LW",Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
Luke Witkowski,433. Luke Witkowski,31,"RW, RD",Right,1,0,0,0,0,0,0,0,9:18,0,0,0,0,0,0,0,0,1,4,20,5,12,29.41,4,8,33.33,0.23,0.44,34.33,Standard (2-way),"$750,000","$750,000"
Stefan Matteau,434. Stefan Matteau,27,LW,Left,1,0,0,0,0,0,0,0,3:39,0,0,0,0,0,0,0,0,1,2,33.33,1,4,20,1,3,25,0.04,0.13,23.53,Standard (2-way),"$750,000","$750,000"
Mathieu Olivier,435. Mathieu Olivier,24,RW,Right,10,0,1,1,0.1,-3,5,0,10:05,0.5,5,11,8,0.3,2.97,6.54,4.75,30,57,34.47,64,94,40.51,48,69,41.03,1.86,5.08,26.8,Standard (1-way),"$750,000","$750,000"
Buddy Robinson,436. Buddy Robinson,29,RW,Right,32,1,5,6,0.19,2,38,0.03,9:14,3.12,38,51,46,0.63,7.71,10.34,9.33,159,164,49.23,242,297,44.9,197,226,46.57,10.6,12.9,45.11,Standard (2-way),"$750,000","$750,000"
Danny O'Regan,437. Danny O'Regan,27,"C, LW",Right,5,0,1,1,0.2,-1,2,0,10:03,0.22,2,6,2,0.26,2.39,7.16,2.39,19,34,35.85,42,57,42.42,28,41,40.58,1.2,2.88,29.41,Standard (2-way),"$750,000","$750,000"
Brett Seney,438. Brett Seney,25,"C, LW",Left,2,0,0,0,0,0,1,0,7:01,0.19,1,2,1,0.81,4.28,8.55,4.28,2,10,16.67,5,19,20.83,2,11,15.38,0.24,0.61,28.24,Standard (2-way),"$750,000","$750,000"
Nathan Todd,439. Nathan Todd,25,C,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
Matthew Peca,440. Matthew Peca,28,"LW, C",Left,5,0,1,1,0.2,-1,3,0,9:38,0.12,3,8,4,0.15,3.74,9.96,4.98,17,16,51.52,30,29,50.85,21,26,44.68,1.17,1.12,51.09,Standard (2-way),"$750,000","$750,000"
John Hayden,441. John Hayden,26,"C, RW",Right,55,2,2,4,0.07,-12,65,0.03,10:50,5.44,66,104,84,0.55,6.65,10.48,8.47,231,340,40.46,397,590,40.22,305,466,39.56,16.22,27.79,36.86,Standard (2-way),"$750,000","$750,000"
Michael Chaput,442. Michael Chaput,29,C,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
John Stevens,443. John Stevens,27,C,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
Sheldon Rempal,444. Sheldon Rempal,25,"LW, RW",Left,1,0,0,0,0,-1,2,0,9:11,0.11,2,2,2,0.72,13.07,13.07,13.07,4,8,33.33,6,11,35.29,6,10,37.5,0.22,0.75,22.68,Standard (2-way),"$750,000","$750,000"
Gabriel Dumont,445. Gabriel Dumont,30,C,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
Steven Fogarty,446. Steven Fogarty,28,"C, RW",Right,2,0,0,0,0,-2,2,0,10:18,0.13,2,2,2,0.38,5.83,5.83,5.83,12,8,60,21,16,56.76,14,11,56,0.45,0.76,37.19,Standard (2-way),"$750,000","$750,000"
Juho Lammikko,447. Juho Lammikko,25,"C, LW",Left,75,7,8,15,0.2,-6,67,0.1,12:16,8.13,67,118,92,0.53,4.37,7.69,5.99,361,513,41.3,649,1009,39.14,490,728,40.22,29.41,46.21,38.89,Standard (1-way),"$750,000","$750,000"
Tyler Sikura,448. Tyler Sikura,29,"C, LW",Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
Justin Bailey,449. Justin Bailey,26,RW,Right,14,0,0,0,0,-5,16,0,9:04,0.48,16,25,17,0.23,7.55,11.8,8.02,42,80,34.43,74,156,32.17,53,114,31.74,2.9,6.87,29.68,Standard (2-way),"$750,000","$750,000"
Patrick Brown,450. Patrick Brown,29,"C, RW",Right,44,4,5,9,0.2,-16,51,0.08,12:26,4.61,51,83,69,0.51,5.59,9.1,7.57,230,344,40.07,396,663,37.39,304,477,38.92,15.61,35.72,30.41,Standard (1-way),"$750,000","$750,000"
Gage Quinney,451. Gage Quinney,25,"LW, C",Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
Brian Flynn,452. Brian Flynn,32,RW,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
Remi Elie,453. Remi Elie,26,LW,Left,1,0,0,0,0,-2,2,0,10:57,0.12,2,3,2,0.66,10.96,16.44,10.96,10,8,55.56,11,14,44,10,8,55.56,0.4,0.76,34.47,Standard (2-way),"$750,000","$750,000"
Ryan Fitzgerald,454. Ryan Fitzgerald,26,"C, RW",Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
Nick Merkley,455. Nick Merkley,24,"RW, C",Right,9,1,2,3,0.33,-2,7,0.14,12:24,1.01,7,15,12,0.54,3.76,8.06,6.45,56,51,52.34,105,97,51.98,82,76,51.9,4.82,4.99,49.13,Standard (2-way),"$750,000","$750,000"
Sean Malone,456. Sean Malone,26,C,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
Justin Dowling,457. Justin Dowling,30,"C, LW",Left,22,2,2,4,0.18,-3,17,0.12,9:35,2.17,17,28,22,0.62,4.84,7.97,6.26,95,92,50.8,173,184,48.46,124,126,49.6,7.33,7.05,50.97,Standard (1-way),"$750,000","$750,000"
Luke Johnson,458. Luke Johnson,26,C,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
Michael Eyssimont,459. Michael Eyssimont,24,"RW, C",Left,1,0,0,0,0,0,1,0,5:49,0.02,1,1,1,0.21,10.31,10.31,10.31,5,3,62.5,7,6,53.85,6,4,60,0.22,0.22,50,Standard (2-way),"$750,000","$750,000"
T.J. Tynan,460. T.J. Tynan,29,C,Right,2,0,0,0,0,0,3,0,10:50,0.1,3,4,3,0.28,8.3,11.07,8.3,10,7,58.82,18,16,52.94,13,11,54.17,0.88,0.75,53.99,Standard (2-way),"$750,000","$750,000"
C.J. Smith,461. C.J. Smith,26,LW,Left,1,0,0,0,0,-1,0,0,9:22,0.15,0,2,2,0.96,0,12.81,12.81,5,11,31.25,9,17,34.61,9,15,37.5,0.42,1.08,28,Standard (2-way),"$750,000","$750,000"
Dominic Turgeon,462. Dominic Turgeon,25,C,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
Liam O'Brien,463. Liam O'Brien,26,LW,Left,39,2,1,3,0.08,1,36,0.06,9:28,3.75,36,67,51,0.61,5.84,10.88,8.27,128,204,38.54,256,378,40.38,185,288,39.11,9.47,16.86,35.97,Standard (2-way),"$750,000","$750,000"
Sheldon Dries,464. Sheldon Dries,27,C,Left,11,2,1,3,0.27,-3,17,0.12,10:18,1.73,17,28,26,0.92,9,14.83,13.77,59,54,52.21,111,97,53.37,86,71,54.78,6.26,4.45,58.45,Standard (2-way),"$750,000","$750,000"
Kurtis Gabriel,465. Kurtis Gabriel,28,RW,Right,2,0,0,0,0,0,0,0,6:01,0,0,1,0,0,0,4.98,0,4,3,57.14,8,8,50,4,4,50,0.21,0.32,39.61,Standard (1-way),"$750,000","$750,000"
Phillip Di Giuseppe,466. Phillip Di Giuseppe,27,LW,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
Matt Luff,467. Matt Luff,24,RW,Right,23,3,3,6,0.26,3,26,0.12,9:24,2.92,26,43,34,0.81,7.21,11.92,9.43,86,114,43,183,204,47.29,137,152,47.4,8.23,8.06,50.52,Standard (2-way),"$750,000","$750,000"
Lane Pederson,468. Lane Pederson,23,C,Right,29,0,2,2,0.07,-16,24,0,10:31,1.91,24,40,33,0.38,4.72,7.87,6.49,121,155,43.84,228,305,42.78,170,220,43.59,9.08,14.06,39.24,Standard (2-way),"$750,000","$750,000"
Michael Amadio,469. Michael Amadio,25,"LW, C, RW",Right,56,11,7,18,0.32,1,64,0.17,12:09,7.54,64,109,83,0.66,5.64,9.6,7.31,377,298,55.85,711,585,54.86,523,409,56.12,31.64,24.03,56.83,Standard (2-way),"$750,000","$750,000"
Greg McKegg,470. Greg McKegg,29,"C, LW",Left,43,2,3,5,0.12,-11,25,0.08,10:52,2.78,25,38,31,0.36,3.21,4.88,3.98,156,277,36.03,281,520,35.08,214,379,36.09,12.56,24.54,33.85,Standard (2-way),"$750,000","$750,000"
Dominik Simon,471. Dominik Simon,26,"RW, LW",Left,72,3,10,13,0.18,0,88,0.03,10:16,7.52,88,138,114,0.61,7.13,11.18,9.24,421,328,56.21,742,600,55.29,576,438,56.8,34.28,26.58,56.33,Standard (2-way),"$750,000","$750,000"
Michael McCarron,472. Michael McCarron,26,"RW, C",Right,51,7,7,14,0.27,10,51,0.14,10:23,5.28,51,84,67,0.6,5.78,9.51,7.59,244,312,43.88,434,536,44.74,343,410,45.55,19.89,26.2,43.15,Standard (2-way),"$750,000","$750,000"
Anthony Richard,473. Anthony Richard,24,"LW, RW",Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
Chase De Leo,474. Chase De Leo,25,"C, LW, RW",Left,2,0,0,0,0,-1,2,0,8:09,0.27,2,5,4,0.99,7.36,18.39,14.72,7,7,50,15,9,62.5,10,7,58.82,0.51,0.21,70.83,Standard (2-way),"$750,000","$750,000"
Nicolas Petan,475. Nicolas Petan,26,"C, LW, RW",Left,18,0,2,2,0.11,-2,21,0,10:17,2.36,21,41,30,0.76,6.8,13.29,9.72,99,87,53.23,185,132,58.36,135,111,54.88,8.19,6.25,56.75,Standard (2-way),"$750,000","$750,000"
