PLAYER_clean,PLAYER,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,TYPE,CAP HIT,SALARY
Filip Chytil,223. Filip Chytil,21,"C, LW",Left,67,8,14,22,0.33,-1,135,0.06,13:10,14.24,135,231,188,0.97,9.18,15.7,12.78,473,402,54.06,843,736,53.39,643,548,53.99,44.79,36.61,55.02,Standard (1-way),"$2,300,000","$2,000,000"
Luke Kunin,224. Luke Kunin,23,"RW, C",Right,82,13,9,22,0.27,-11,125,0.1,13:49,14.57,125,209,176,0.77,6.61,11.06,9.31,504,653,43.56,940,1181,44.32,698,893,43.87,46.13,54.45,45.86,Standard (1-way),"$2,300,000","$2,300,000"
Ivan Barbashev,225. Ivan Barbashev,25,"C, LW, RW",Left,81,26,34,60,0.74,4,111,0.23,16:26,17.28,111,188,150,0.78,5,8.47,6.76,626,760,45.17,1093,1344,44.85,829,1042,44.31,62.89,69.39,47.54,Standard (1-way),"$2,250,000","$1,900,000"
Cody Eakin,226. Cody Eakin,30,C,Left,69,4,8,12,0.17,-15,74,0.05,13:35,5.12,74,118,95,0.33,4.71,7.51,6.04,346,541,39.01,606,956,38.79,468,741,38.71,24.83,45.62,35.24,Standard (1-way),"$2,250,000","$2,500,000"
Pavel Zacha,227. Pavel Zacha,24,"LW, RW, C",Left,70,15,21,36,0.51,-21,148,0.1,16:50,17.6,148,264,211,0.9,7.53,13.43,10.74,673,537,55.62,1264,951,57.07,954,741,56.28,62.09,56.56,52.33,Standard (1-way),"$2,250,000","$3,000,000"
Teddy Blueger,228. Teddy Blueger,26,"C, LW",Left,65,9,19,28,0.43,12,93,0.1,15:01,9.21,93,134,114,0.56,5.72,8.24,7.01,439,506,46.46,720,963,42.78,582,731,44.33,36.04,46.6,43.61,Standard (1-way),"$2,200,000","$2,000,000"
Zemgus Girgensons,229. Zemgus Girgensons,27,"LW, C",Left,56,10,8,18,0.32,-7,92,0.11,14:47,9.11,92,145,120,0.66,6.67,10.5,8.69,363,439,45.26,607,723,45.64,484,570,45.92,29.06,38.82,42.81,Standard (1-way),"$2,200,000","$2,200,000"
Evander Kane,230. Evander Kane,29,"LW, RW",Left,43,22,17,39,0.91,25,152,0.14,19:27,19.25,152,260,206,1.38,10.9,18.64,14.78,550,414,57.05,977,750,56.57,745,582,56.14,60.85,41.48,59.46,Standard (1-way),"$2,108,696","$1,375,000"
Adam Erne,231. Adam Erne,26,"LW, RW",Left,79,6,13,19,0.24,-22,108,0.06,13:23,10.27,108,176,139,0.57,6.13,9.99,7.89,462,562,45.12,817,1012,44.67,615,756,44.86,43.94,49.28,47.14,Standard (1-way),"$2,100,000","$1,800,000"
Jordan Greenway,232. Jordan Greenway,24,"LW, RW",Left,62,10,17,27,0.44,26,110,0.09,14:33,14.22,110,166,145,0.94,7.31,11.03,9.64,452,446,50.33,758,847,47.23,590,631,48.32,42.01,39.94,51.26,Standard (1-way),"$2,100,000","$2,600,000"
