PLAYER,PLAYER_clean,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,TYPE,CAP HIT,SALARY
1. Erik Karlsson,Erik Karlsson,32,RD,Right,50,10,25,35,0.7,-14,117,0.09,23:28:00,6.79,117,248,170,0.35,5.98,12.68,8.69,697,611,53.29,1247,1118,52.73,955,838,53.26,67.5,67.97,49.83,Standard (1-way),"$11,500,000","$12,000,000"
2. Drew Doughty,Drew Doughty,32,RD,Right,39,7,24,31,0.79,4,99,0.07,25:44:00,5.45,99,183,127,0.33,5.92,10.94,7.59,615,434,58.63,1092,769,58.68,831,592,58.4,59.52,48.65,55.02,Standard (1-way),"$11,000,000","$11,000,000"
3. Zachary Werenski,Zachary Werenski,24,LD,Left,68,11,37,48,0.71,-15,216,0.05,25:39:00,12.22,216,428,313,0.42,7.43,14.72,10.76,999,982,50.43,1902,1654,53.49,1423,1305,52.16,98.04,96.15,50.49,Standard (1-way),"$9,583,333","$10,000,000"
4. Charlie McAvoy,Charlie McAvoy,24,RD,Right,78,10,46,56,0.72,31,166,0.06,24:39:00,8.82,166,295,227,0.28,5.18,9.21,7.09,1312,897,59.39,2136,1628,56.75,1718,1212,58.63,121.49,82.31,59.61,Standard (1-way),"$9,500,000","$9,250,000"
5. Adam Fox,Adam Fox,24,RD,Right,78,11,63,74,0.95,18,158,0.07,23:54:00,8.49,158,275,197,0.27,5.08,8.85,6.34,1016,866,53.99,1798,1638,52.33,1398,1228,53.24,108.58,85.7,55.89,Standard (1-way),"$9,500,000","$11,000,000"
6. Seth Jones,Seth Jones,27,RD,Right,78,5,46,51,0.65,-37,194,0.03,26:12:00,9.39,194,365,255,0.28,5.69,10.71,7.48,1072,1013,51.41,1921,1830,51.21,1419,1350,51.25,96.24,99.63,49.13,Standard (1-way),"$9,500,000","$10,000,000"
7. Darnell Nurse,Darnell Nurse,27,LD,Left,71,9,26,35,0.49,18,203,0.04,25:02:00,10.26,203,410,286,0.35,6.85,13.83,9.65,1027,1020,50.17,1803,1753,50.7,1388,1372,50.29,106.51,100.6,51.43,Standard (1-way),"$9,250,000","$12,000,000"
8. Roman Josi,Roman Josi,32,LD,Left,80,23,73,96,1.2,13,281,0.08,25:33:00,15.57,281,563,385,0.46,8.25,16.52,11.3,1228,1028,54.43,2264,1821,55.42,1709,1386,55.22,122.19,98.45,55.38,Standard (1-way),"$9,059,000","$9,750,000"
9. Dougie Hamilton,Dougie Hamilton,29,RD,Right,62,9,21,30,0.48,-19,197,0.05,21:13:00,10.84,197,402,285,0.49,8.98,18.32,13,798,667,54.47,1469,1183,55.39,1115,905,55.2,73.02,66.67,52.27,Standard (1-way),"$9,000,000","$6,300,000"
10. Cale Makar,Cale Makar,23,RD,Right,77,28,58,86,1.12,48,240,0.12,25:40:00,13.33,240,494,319,0.4,7.29,15,9.68,1349,933,59.11,2387,1628,59.45,1809,1249,59.16,138.99,88.9,60.99,Standard (1-way),"$9,000,000","$9,000,000"
11. Alex Pietrangelo,Alex Pietrangelo,32,RD,Right,80,13,31,44,0.55,7,227,0.06,24:38:00,12.5,227,456,311,0.38,6.91,13.87,9.46,1168,1001,53.85,2083,1887,52.47,1568,1377,53.24,119.79,117.15,50.56,Standard (1-way),"$8,800,000","$8,000,000"
12. Miro Heiskanen,Miro Heiskanen,22,LD/RD,Left,70,5,31,36,0.51,3,156,0.03,24:53:00,10.76,156,312,218,0.37,5.37,10.75,7.51,928,861,51.87,1684,1531,52.38,1276,1170,52.17,98.69,80.23,55.16,Standard (1-way),"$8,450,000","$7,000,000"
13. Oliver Ekman-Larsson,Oliver Ekman-Larsson,30,LD,Left,79,5,24,29,0.37,5,168,0.03,22:19:00,6.34,168,352,234,0.22,5.72,11.98,7.97,927,999,48.13,1663,1765,48.51,1275,1341,48.74,87.34,89.05,49.52,Standard (1-way),"$8,250,000","$10,500,000"
14. Thomas Chabot,Thomas Chabot,25,LD,Left,59,7,31,38,0.64,-3,173,0.04,26:11:00,9.17,173,330,227,0.36,6.72,12.81,8.81,905,728,55.42,1631,1347,54.77,1232,999,55.22,87.08,73.34,54.28,Standard (1-way),"$8,000,000","$4,000,000"
15. John Carlson,John Carlson,32,RD,Right,78,17,54,71,0.91,13,195,0.09,23:48:00,12.58,195,388,278,0.41,6.3,12.53,8.98,1109,858,56.38,1941,1604,54.75,1520,1220,55.47,119.64,89.92,57.09,Standard (1-way),"$8,000,000","$6,000,000"
16. Brent Burns,Brent Burns,37,RD,Right,82,10,44,54,0.66,-15,203,0.05,26:08:00,8.5,203,446,293,0.24,5.68,12.48,8.19,1066,1182,47.42,1936,2263,46.11,1476,1641,47.35,105.69,129.5,44.94,Standard (1-way),"$8,000,000","$6,500,000"
17. Jacob Trouba,Jacob Trouba,28,RD,Right,81,11,28,39,0.48,25,204,0.05,22:25:00,11.53,204,388,277,0.38,6.74,12.81,9.15,903,969,48.24,1614,1778,47.58,1245,1324,48.46,91.4,90.25,50.32,Standard (1-way),"$8,000,000","$6,000,000"
18. Victor Hedman,Victor Hedman,31,LD,Left,82,20,65,85,1.04,26,219,0.09,25:04:00,13.27,219,462,331,0.39,6.39,13.48,9.66,1221,928,56.82,2157,1684,56.16,1700,1293,56.8,134.43,98.18,57.79,Standard (1-way),"$7,875,000","$8,000,000"
19. Shea Weber,Shea Weber,36,RD,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (1-way),"$7,857,143","$3,000,000"
20. Quinn Hughes,Quinn Hughes,22,LD,Left,76,8,60,68,0.89,10,150,0.05,25:15:00,6.8,150,342,202,0.21,4.69,10.7,6.32,1134,860,56.87,2102,1549,57.57,1549,1181,56.74,111.2,90.18,55.22,Standard (1-way),"$7,850,000","$6,500,000"
21. Jared Spurgeon,Jared Spurgeon,32,RD,Right,65,10,30,40,0.62,32,116,0.09,21:09:00,6.34,116,234,157,0.28,5.05,10.21,6.85,825,635,56.51,1460,1143,56.09,1117,871,56.19,82.96,65.61,55.84,Standard (1-way),"$7,575,000","$6,000,000"
22. Morgan Rielly,Morgan Rielly,28,LD,Left,82,10,58,68,0.83,16,221,0.05,23:44:00,9.08,221,384,290,0.28,6.81,11.84,8.94,1247,1016,55.1,2198,1692,56.5,1706,1377,55.34,128.49,97.27,56.91,Standard (1-way),"$7,500,000","$8,000,000"
23. Aaron Ekblad,Aaron Ekblad,26,RD,Right,61,15,42,57,0.93,38,180,0.08,24:55:00,10.6,180,317,233,0.42,7.1,12.51,9.19,978,743,56.83,1703,1254,57.59,1293,936,58.01,106.97,74.2,59.04,Standard (1-way),"$7,500,000","$6,000,000"
24. Marc-Édouard Vlasic,Marc-Édouard Vlasic,35,LD/RD,Left,75,3,11,14,0.19,-22,63,0.05,15:12:00,2.06,63,145,99,0.11,3.31,7.62,5.21,470,568,45.28,840,1146,42.3,646,831,43.74,35.82,51.41,41.06,Standard (1-way),"$7,000,000","$7,250,000"
25. John Klingberg,John Klingberg,29,RD,Right,74,6,41,47,0.64,-28,139,0.04,22:12:00,8.51,139,361,209,0.31,5.07,13.18,7.63,933,849,52.36,1807,1517,54.36,1336,1164,53.44,103.09,82.74,55.48,Standard (1-way),"$7,000,000","$7,000,000"
26. Brent Seabrook,Brent Seabrook,37,RD,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (1-way),"$6,875,000","$5,000,000"
27. Ivan Provorov,Ivan Provorov,25,LD,Left,79,9,22,31,0.39,-20,170,0.05,24:53:00,7.34,170,322,221,0.22,5.19,9.83,6.74,993,1061,48.34,1727,1955,46.9,1316,1453,47.53,84.88,110.18,43.51,Standard (1-way),"$6,750,000","$4,750,000"
28. Ryan McDonagh,Ryan McDonagh,33,LD,Left,71,4,22,26,0.37,15,85,0.05,22:26:00,5.37,85,180,131,0.2,3.2,6.78,4.93,635,896,41.48,1177,1634,41.87,906,1241,42.2,67.25,87.13,43.56,Standard (1-way),"$6,750,000","$5,460,000"
29. Justin Faulk,Justin Faulk,30,RD,Right,76,16,31,47,0.62,41,167,0.1,23:11:00,9.19,167,318,219,0.31,5.68,10.82,7.45,889,933,48.79,1541,1619,48.77,1186,1302,47.67,87.88,88.26,49.89,Standard (1-way),"$6,500,000","$5,850,000"
30. Hampus Lindholm,Hampus Lindholm,28,LD,Left,71,5,22,27,0.38,10,142,0.04,22:30:00,6.72,142,275,201,0.25,5.33,10.33,7.55,809,881,47.87,1419,1541,47.94,1108,1192,48.17,72.62,81.09,47.24,Standard (1-way),"$6,500,000","$7,250,000"
31. Cam Fowler,Cam Fowler,30,LD/RD,Left,76,9,33,42,0.55,-9,124,0.07,24:24:00,6.97,124,300,170,0.23,4.01,9.69,5.5,893,1037,46.27,1665,1852,47.34,1231,1440,46.09,82.91,107.35,43.58,Standard (1-way),"$6,500,000","$4,750,000"
32. Torey Krug,Torey Krug,31,LD,Left,64,9,34,43,0.67,23,119,0.08,20:33:00,6.35,119,245,173,0.28,5.43,11.17,7.89,799,667,54.5,1385,1140,54.85,1063,933,53.26,78.04,64.87,54.61,Standard (1-way),"$6,500,000","$8,000,000"
33. Colton Parayko,Colton Parayko,29,RD,Right,80,6,29,35,0.44,16,135,0.04,23:33:00,7.53,135,244,183,0.24,4.3,7.77,5.83,824,1055,43.85,1390,1904,42.2,1093,1463,42.76,81.52,96.04,45.91,Standard (1-way),"$6,500,000","$7,250,000"
34. Joshua Morrissey,Joshua Morrissey,27,LD,Left,79,12,25,37,0.47,-3,173,0.07,23:39:00,11.35,173,351,251,0.36,5.55,11.27,8.06,1079,935,53.57,1912,1632,53.95,1454,1264,53.5,118.5,96.08,55.22,Standard (1-way),"$6,250,000","$5,200,000"
35. Mattias Ekholm,Mattias Ekholm,32,LD/RD,Left,76,6,25,31,0.41,14,145,0.04,23:28:00,9.84,145,311,213,0.33,4.88,10.46,7.16,758,981,43.59,1420,1782,44.35,1098,1354,44.78,74.52,104.67,41.59,Standard (1-way),"$6,250,000","$5,500,000"
36. Ryan Ellis,Ryan Ellis,31,RD,Right,4,1,4,5,1.25,2,6,0.17,22:48:00,0.19,6,13,8,0.12,3.95,8.55,5.26,42,43,49.41,83,82,50.3,58,60,49.15,3.49,4.19,45.44,Standard (1-way),"$6,250,000","$5,300,000"
37. Jeff Petry,Jeff Petry,34,RD,Right,68,6,21,27,0.4,-11,124,0.05,22:07:00,4.55,124,266,160,0.18,4.95,10.61,6.38,784,833,48.48,1363,1485,47.86,1003,1117,47.31,70.72,86.74,44.91,Standard (1-way),"$6,250,000","$7,500,000"
38. Ryan Pulock,Ryan Pulock,27,RD,Right,56,5,16,21,0.38,0,122,0.04,21:08:00,4.92,122,226,159,0.25,6.18,11.46,8.06,586,658,47.11,1034,1203,46.22,791,893,46.97,55.45,60.41,47.86,Standard (1-way),"$6,150,000","$6,150,000"
39. Tyler Myers,Tyler Myers,32,RD,Right,82,1,17,18,0.22,15,128,0.01,21:58:00,5.79,128,257,173,0.19,4.26,8.56,5.76,865,1055,45.05,1564,1934,44.71,1193,1454,45.07,78.68,101.82,43.59,Standard (1-way),"$6,000,000","$5,000,000"
40. Matt Dumba,Matt Dumba,27,RD,Right,57,7,20,27,0.47,9,116,0.06,23:06:00,7.7,116,251,154,0.35,5.28,11.44,7.02,659,693,48.74,1197,1264,48.64,884,953,48.12,60.18,60.51,49.86,Standard (1-way),"$6,000,000","$5,200,000"
41. Erik Johnson,Erik Johnson,34,RD,Right,77,8,17,25,0.32,22,139,0.06,17:16:00,5.55,139,260,175,0.25,6.27,11.73,7.89,663,806,45.13,1183,1465,44.68,862,1087,44.23,57.18,76.17,42.88,Standard (1-way),"$6,000,000","$6,000,000"
