PLAYER,PLAYER_clean,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,TYPE,CAP HIT,SALARY
192. Libor Hájek,Libor Hájek,24,LD,Left,17,0,1,1,0.06,-10,12,0,13:07:00,0.25,12,22,15,0.07,3.23,5.91,4.03,89,130,40.64,151,245,38.13,120,179,40.13,7.7,11.46,40.19,Standard (1-way),"$800,000","$800,000"
193. Erik Gustafsson,Erik Gustafsson,30,LD/RD,Left,59,3,15,18,0.31,-4,79,0.04,16:13:00,3.59,79,173,113,0.23,4.95,10.85,7.09,550,468,54.03,952,787,54.74,718,616,53.82,44.83,41.46,51.95,Standard (1-way),"$800,000","$800,000"
194. Chase Priskie,Chase Priskie,26,RD,Right,4,0,0,0,0,2,4,0,14:00:00,0.26,4,7,5,0.28,4.28,7.5,5.36,38,40,48.72,60,61,49.59,50,52,49.02,3.89,3.2,54.87,Standard (2-way),"$800,000","$800,000"
195. Robin Salo,Robin Salo,23,LD,Left,21,1,4,5,0.24,-6,24,0.04,16:41:00,0.73,24,43,29,0.12,4.11,7.36,4.96,145,156,48.17,269,291,48.04,194,218,47.09,14.6,16.3,47.25,Standard (1-way),"$800,000","$750,000"
196. Robert Hägg,Robert Hägg,27,LD,Left,64,1,8,9,0.14,-9,59,0.02,16:01:00,2.5,59,140,95,0.15,3.45,8.19,5.56,462,649,41.58,810,1117,42.03,631,866,42.15,38.47,55.6,40.9,Standard (1-way),"$800,000","$800,000"
197. Andrew Peeke,Andrew Peeke,24,RD,Right,82,2,13,15,0.18,-14,72,0.03,21:28:00,3.22,72,167,109,0.11,2.45,5.69,3.71,724,1118,39.31,1343,1974,40.49,1023,1503,40.5,60.52,102.13,37.21,Standard (1-way),"$787,500","$825,000"
198. Nick Seeler,Nick Seeler,29,LD/RD,Left,43,1,2,3,0.07,-3,32,0.03,13:04:00,1.18,32,67,48,0.13,3.41,7.15,5.12,256,312,45.07,446,594,42.88,333,427,43.82,17.75,28.99,37.97,Standard (1-way),"$775,000","$750,000"
199. Dmitri Samorukov,Dmitri Samorukov,23,LD,Left,1,0,0,0,0,-2,0,0,2:28:00,0,0,1,0,0,0,24.29,0,2,4,33.33,5,4,55.56,3,4,42.86,0.14,0.35,28.57,Standard (1-way),"$775,000","$775,000"
200. Grant Hutton,Grant Hutton,26,RD,Right,16,1,0,1,0.06,-1,22,0.05,14:11:00,1.13,22,43,29,0.3,5.82,11.37,7.67,94,117,44.55,177,233,43.17,125,173,41.95,7.95,10.81,42.38,Standard (2-way),"$775,000","$750,000"
201. Mark Friedman,Mark Friedman,26,LD/RD,Right,26,1,4,5,0.19,1,27,0.04,13:16:00,1.84,27,49,41,0.32,4.69,8.52,7.13,194,191,50.39,317,351,47.46,260,256,50.39,16.54,14.46,53.35,Standard (1-way),"$775,000","$750,000"
202. Johnathan Kovacevic,Johnathan Kovacevic,24,RD,Right,4,0,0,0,0,1,7,0,10:48:00,0.18,7,13,9,0.25,9.71,18.03,12.49,22,15,59.46,44,28,61.11,32,21,60.38,1.8,1.36,56.96,Standard (2-way),"$766,667","$750,000"
203. Matt Kiersted,Matt Kiersted,24,LD,Left,10,1,1,2,0.2,-8,11,0.09,14:02:00,0.39,11,19,14,0.17,4.7,8.11,5.98,73,88,45.34,129,149,46.4,97,110,46.86,5.25,7.77,40.32,Standard (2-way),"$762,500","$750,000"
